epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.006023688692795603,0.0,4.60314808682912,0.4034582132564842
1,0.012062488104167737,0.0,4.60126125977336,1.7867435158501441
1,0.01811987475345009,0.0,4.5995602387986425,4.553314121037464
1,0.0241739411103098,0.0,4.597063743573729,7.3198847262247835
1,0.030207999756461695,0.0,4.5929278360533825,8.24207492795389
1,0.03625297860095376,0.0,4.587748659371231,8.184438040345821
1,0.04230247986944098,0.0,4.583021895676714,8.818443804034581
1,0.048245016524666236,4.6875,4.567885605420934,8.818443804034581
1,0.05423714047984073,4.166666666666667,4.525890609635735,8.93371757925072
1,0.06021862531963148,6.25,4.483974113991733,14.755043227665706
1,0.06618950806165996,7.954545454545454,4.492351797868579,13.256484149855908
1,0.07207831018849423,8.333333333333334,4.438994256032776,13.659942363112393
1,0.07851105802937558,7.6923076923076925,4.506136841488324,11.70028818443804
1,0.0845259666442871,7.142857142857143,4.538253768797843,8.760806916426512
1,0.09056806564331055,7.5,4.545634893777733,8.760806916426512
1,0.0965145656937047,7.03125,4.541678250659995,8.760806916426512
1,0.10251852211199308,6.617647058823529,4.53272325542116,8.760806916426512
1,0.10844500880492361,7.638888888888889,4.5148018977609095,8.760806916426512
1,0.11449700217497977,7.2368421052631575,4.491706074657528,8.760806916426512
1,0.12052977398822182,6.875,4.470578835307179,8.760806916426512
1,0.12650544078726517,6.5476190476190474,4.441611815158123,8.760806916426512
1,0.13235525143773932,7.386363636363637,4.418067614603702,8.760806916426512
1,0.13834605091496519,7.065217391304348,4.399257525870327,8.760806916426512
1,0.1439389699383786,7.8125,4.389558191123646,8.760806916426512
1,0.14897011173398872,8.0,4.897987234976984,8.760806916426512
1,0.1545469914612017,8.173076923076923,4.75351921314468,8.760806916426512
1,0.161868176021074,7.87037037037037,4.3311673012746645,8.011527377521613
1,0.16715441722618907,8.035714285714286,4.3730363263512535,9.164265129682997
1,0.17282906551110117,8.189655172413794,4.40751942951009,9.048991354466859
1,0.178543621301651,8.333333333333334,4.423676591864379,8.99135446685879
1,0.1842394166871121,8.46774193548387,4.426408068925005,8.99135446685879
1,0.1900071122144398,8.984375,4.421197796746882,8.99135446685879
1,0.19601447299907082,8.712121212121213,4.416529044577603,8.99135446685879
1,0.20201634890154788,8.455882352941176,4.412138066533524,8.99135446685879
1,0.20763755503453707,8.214285714285714,4.399754253949987,8.99135446685879
1,0.2136159360408783,8.680555555555555,4.3880137694046795,8.99135446685879
1,0.21932421577604194,8.445945945945946,4.373164209902012,8.99135446685879
1,0.2248847594386653,8.881578947368421,4.350386743721325,8.99135446685879
1,0.23025994394954882,8.974358974358974,4.328372526828045,8.99135446685879
1,0.2361710062152461,9.0625,4.3300320783518425,8.99135446685879
1,0.24098223071349295,9.451219512195122,4.4433968781326225,8.99135446685879
1,0.24742598219921713,9.523809523809524,4.393780352333175,8.99135446685879
1,0.2528910197709736,9.593023255813954,4.327540560252106,8.99135446685879
1,0.25860068798065183,9.659090909090908,4.318567167229367,8.99135446685879
1,0.2644971853808353,9.444444444444445,4.345903459232524,8.99135446685879
1,0.2703360162283245,9.23913043478261,4.372002007225142,8.99135446685879
1,0.2762704102616561,9.308510638297872,4.391085328044979,8.99135446685879
1,0.28168168318899056,9.375,4.392297698605445,8.99135446685879
1,0.28776573821118,9.438775510204081,4.393934533343337,8.99135446685879
1,0.29345226476066993,9.5,4.388474295216222,8.99135446685879
1,0.29905059274874235,9.558823529411764,4.377245425079275,8.99135446685879
1,0.3045438264545641,9.615384615384615,4.3595252080996465,8.99135446685879
1,0.31044201035248603,9.433962264150944,4.34831558064931,8.99135446685879
1,0.3163656899803563,9.49074074074074,4.34331757901451,9.221902017291066
1,0.3222450777104026,9.318181818181818,4.373580653546592,8.93371757925072
1,0.3283505439758301,9.151785714285714,4.420830653010426,8.414985590778098
1,0.33383508481477436,9.429824561403509,4.2979152477281986,8.760806916426512
1,0.33962767563368146,9.267241379310345,4.259382843421901,9.221902017291066
1,0.34532249914972407,9.322033898305085,4.248036429629348,9.106628242074928
1,0.3515164519611158,9.166666666666666,4.250943534385224,8.99135446685879
1,0.35741170770243597,9.01639344262295,4.253714241739791,8.99135446685879
1,0.3626514246589259,8.870967741935484,4.253770044871739,8.99135446685879
1,0.36845376679771824,8.928571428571429,4.2526287933648454,8.99135446685879
1,0.37423750664058486,8.984375,4.249872412000384,8.99135446685879
1,0.3791179230338649,9.038461538461538,4.252677403287404,8.99135446685879
